TransactionID,TransactionDate,CreditType,VerificationStandard,Vintage,Quantity,MarketSupply_SameType,MarketDemand_RecentVolume,PricePerCredit
1,2024-01-15,RenewableEnergy,VERRA,2022,250,85000,92000,0.75
2,2024-01-18,Forestry,GoldStandard,2021,500,78000,95000,0.88
3,2024-01-22,RenewableEnergy,VERRA,2023,1200,91000,88000,0.71
4,2024-01-25,Forestry,VERRA,2021,300,80000,98000,0.82
5,2024-01-28,RenewableEnergy,GoldStandard,2022,750,83000,94000,0.81
6,2024-02-01,Forestry,GoldStandard,2023,150,76000,96000,0.90
7,2024-02-05,RenewableEnergy,VERRA,2022,900,88000,90000,0.73
8,2024-02-09,Forestry,VERRA,2021,450,79000,97000,0.83
9,2024-02-12,RenewableEnergy,GoldStandard,2023,600,86000,92000,0.79
10,2024-02-16,Forestry,GoldStandard,2022,200,77000,99000,0.89
11,2024-02-20,RenewableEnergy,VERRA,2021,1100,90000,87000,0.70
12,2024-02-24,Forestry,VERRA,2023,350,81000,96000,0.84
13,2024-02-28,RenewableEnergy,GoldStandard,2022,550,84000,93000,0.78
14,2024-03-03,Forestry,GoldStandard,2021,800,75000,98000,0.91
15,2024-03-07,RenewableEnergy,VERRA,2023,400,87000,91000,0.74
16,2024-03-11,Forestry,VERRA,2022,100,78000,100000,0.92
17,2024-03-15,RenewableEnergy,GoldStandard,2021,950,89000,89000,0.72
18,2024-03-19,Forestry,GoldStandard,2023,650,76000,97000,0.87
19,2024-03-23,RenewableEnergy,VERRA,2022,300,85000,92000,0.75
20,2024-03-27,Forestry,VERRA,2021,700,80000,95000,0.82
21,2024-03-31,RenewableEnergy,GoldStandard,2023,1250,92000,86000,0.69
22,2024-04-04,Forestry,GoldStandard,2022,250,77000,99000,0.90
23,2024-04-08,RenewableEnergy,VERRA,2021,500,86000,90000,0.73
24,2024-04-12,Forestry,VERRA,2023,450,79000,98000,0.83
25,2024-04-16,RenewableEnergy,GoldStandard,2022,800,83000,94000,0.81
26,2024-04-20,Forestry,GoldStandard,2021,150,75000,96000,0.89
27,2024-04-24,RenewableEnergy,VERRA,2023,1050,89000,88000,0.71
28,2024-04-28,Forestry,VERRA,2022,350,80000,97000,0.84
29,2024-05-02,RenewableEnergy,GoldStandard,2021,600,85000,92000,0.75
30,2024-05-06,Forestry,GoldStandard,2023,900,76000,95000,0.91
